sample_id,time,N,13CO2,12CO2,signal_length,mod_mean,mod_std,mod_max,phase_sin_mean,phase_cos_mean,phase_wrap_jumps,modulus_identity_relative_mae,phase_xy_circular_mae_radians,P_med,P_cons,F_med,F_cons,Temp
13:05:15/scan-008,13:05:15,8,0.824743,73.741923,200000,0.0012727568148750911,0.0004763530195652317,0.0031979301515392047,-0.12566777984231567,-0.7381353692006678,91,1.5926984787229502e-06,0.004464270922300451,0.8999727817093087,0.8999727817093087,110.0,1000.0,30.3
13:05:15/scan-009,13:05:15,9,0.824743,73.741923,200000,0.0012811510658405042,0.00046611546642753523,0.0031101055726193735,-0.13349815655346078,-0.729568172636768,51,1.5299959423922555e-06,0.0033775657761030164,0.9000408274360371,0.8999727817093087,110.0,1000.0,30.3
13:05:15/scan-010,13:05:15,10,0.824743,73.741923,200000,0.0012932950901403334,0.0004931276630617056,0.0032800107422516593,-0.1418875394964158,-0.7365810149166431,86,1.4685997114792651e-06,0.004835038183074628,0.8999727817093087,0.8999727817093087,110.0,1000.0,30.3
13:05:15/scan-011,13:05:15,11,0.824743,73.741923,200000,0.001331276008720798,0.0005034442669021348,0.003115016554792455,-0.16918477830388542,-0.7224306311834181,75,9.802918314584795e-07,0.0029337302397047147,0.8999727817093087,0.8999727817093087,110.0,1000.0,30.3
13:05:15/scan-012,13:05:15,12,0.824743,73.741923,200000,0.001310086362502079,0.00048540979018785933,0.0031072354327678895,-0.13782085184207404,-0.742528110175937,61,1.1850375014434055e-06,0.0032325169852796772,0.8999727817093087,0.8999727817093087,110.0,1000.0,30.3
13:05:15/scan-013,13:05:15,13,0.824743,73.741923,200000,0.0013197945845372363,0.00048271796442649246,0.0031113929755862153,-0.15755812610190764,-0.7264445860196589,67,1.1939225401022101e-06,0.0029615409909914455,0.9000408274360371,0.8999727817093087,110.0,1000.0,30.3
13:05:15/scan-014,13:05:15,14,0.824743,73.741923,200000,0.0013174379116522499,0.00048792237074949264,0.0032033729275058546,-0.15175791788632248,-0.7408216272086656,63,1.82587355082488e-06,0.0036591432371183134,0.9000408274360371,0.8999727817093087,110.0,1000.0,30.3
13:05:15/scan-015,13:05:15,15,0.824743,73.741923,200000,0.0013324423314261696,0.00047829602317514666,0.003255533978062285,-0.16030485559384167,-0.7260131418687036,57,1.0026185552341868e-06,0.00262473244705578,0.8999727817093087,0.8999727817093087,110.0,1000.0,30.3
13:05:15/scan-016,13:05:15,16,0.824743,73.741923,200000,0.0013180114105980527,0.0004646307479751789,0.0031342734712364213,-0.1428997446070978,-0.728190791693567,46,1.3430336321276831e-06,0.0022727371111653503,0.9000408274360371,0.8999727817093087,110.0,1000.0,30.3
13:05:15/scan-017,13:05:15,17,0.824743,73.741923,200000,0.001320935420043646,0.00044832600539096255,0.003017200126594423,-0.15803177015785042,-0.7301478573605971,50,1.1558928812103318e-06,0.0022920469139348716,0.8999727817093087,0.8999727817093087,110.0,1000.0,30.3
