target,feature,mean_coefficient,mean_abs_coefficient,coefficient_std,sign_consistency
13CO2,phase_cos_mean,0.024459915973645156,0.024459915973645156,0.010628101523984341,1.0
13CO2,phase_bin_04_mean,-0.01074437238106161,0.024206151773787467,0.029703028284341453,0.14285714285714285
13CO2,phase_bin_30_mean,-0.023205594394423427,0.023205594394423427,0.012904758453147825,1.0
13CO2,mod_peak2_pow,0.022470950274535818,0.022470950274535818,0.014138777065305502,1.0
13CO2,X_min,0.007085395228347736,0.021913574207173186,0.023319451581271022,0.14285714285714285
13CO2,phase_bin_25_mean,-0.014718259812701575,0.021080811852692734,0.024486240868873334,0.42857142857142855
13CO2,phase_bin_13_mean,0.02105723459729072,0.02105723459729072,0.008993664156350493,1.0
13CO2,mod_min,0.020104272344518673,0.020888291441903933,0.014201895788278955,0.7142857142857143
13CO2,phase_bin_00_mean,0.02082517104347948,0.02082517104347948,0.014895039279263925,1.0
13CO2,X_median,0.002144169754890737,0.020698859664833185,0.02326223886078614,0.14285714285714285
13CO2,phase_bin_02_mean,-0.009921177869034428,0.020361862069315676,0.01967273868170731,0.42857142857142855
13CO2,phase_bin_22_mean,-0.02029118288186645,0.02029118288186645,0.015302361197652372,1.0
13CO2,phase_bin_19_mean,-0.019664913698556018,0.019664913698556018,0.007876224579679845,1.0
13CO2,Y_p10,0.011056058648932903,0.018547986316724382,0.01930990847131899,0.42857142857142855
13CO2,X_max,0.007525404224652195,0.01714192854166393,0.02042628053735776,0.14285714285714285
13CO2,mod_peak4_pow,-0.014741947452837148,0.014741947452837148,0.006888834749199204,1.0
13CO2,phase_max,0.009163906509569627,0.01413964563549919,0.011297855501087934,0.7142857142857143
13CO2,phase_mean,0.009323218782894901,0.014052787347977982,0.013693219663039168,0.7142857142857143
13CO2,phase_bin_10_mean,-0.01365122820039255,0.01365122820039255,0.0106469705617567,1.0
13CO2,Y_p90,0.008468124841507689,0.013642028880040563,0.018472030583023026,0.14285714285714285
13CO2,phase_bin_29_mean,0.013546988699323026,0.013546988699323026,0.009463784116675892,1.0
13CO2,phase_bin_20_mean,0.013438948486554376,0.013438948486554376,0.007592970602923443,1.0
13CO2,X_kurt,-0.0012866660907299293,0.013251299827013901,0.013923664896686401,0.14285714285714285
13CO2,phase_bin_21_mean,0.011504057553874177,0.01310331703883901,0.009648020949556508,0.7142857142857143
13CO2,Temp,-0.012921213444803072,0.012921213444803072,0.008646840800769409,1.0
13CO2,mod_peak3_pow,0.001079729056683734,0.012896517816425269,0.015370684909552722,0.14285714285714285
13CO2,phase_bin_08_mean,0.0025391927012006986,0.012589097548230671,0.014182062044318938,0.42857142857142855
13CO2,phase_bin_09_mean,-0.012532647844025887,0.012532647844025887,0.008184967028383838,1.0
13CO2,phase_bin_11_mean,0.012055796027281808,0.012055796027281808,0.0054152078069150756,1.0
13CO2,phase_bin_27_mean,-0.00901990853365914,0.011897837831174962,0.00897511374164108,0.7142857142857143
13CO2,phase_bin_17_mean,0.011636984206463185,0.011636984206463185,0.008460260255908764,1.0
13CO2,X_mean,0.004271386385765964,0.011633190795360437,0.015295343273874124,0.42857142857142855
13CO2,phase_bin_16_mean,0.011518912623229698,0.011518912623229698,0.004834960161872418,1.0
13CO2,mod_peak1_pow,0.005075881661720323,0.011324147801928284,0.010899711170811708,0.42857142857142855
13CO2,phase_bin_28_mean,-0.007408411822903514,0.011045501721522185,0.009598782715618794,0.42857142857142855
13CO2,phase_bin_15_mean,-0.007155552990239818,0.010725073395096105,0.010668872651052251,0.7142857142857143
13CO2,mod_peak1_freq,-0.010151524141060441,0.010151524141060441,0.00391853983044507,1.0
13CO2,Y_kurt,0.006694161467487625,0.008925641793692434,0.007971526866012263,0.42857142857142855
