model,seed,target,group,samples,rmse,mae,bias
InceptionNestedAug,2,12CO2,13:33:30,20,16.104230880737305,14.898422241210938,-14.898422241210938
InceptionNestedAug,2,13CO2,13:43:08,20,0.21358060836791992,0.19508913159370422,0.08810839802026749
InceptionNestedAug,2,12CO2,13:43:08,20,17.445158004760742,12.447275161743164,-10.511120796203613
InceptionNestedAug,3,13CO2,12:46:00,20,0.4997781813144684,0.4971977174282074,0.4971977174282074
InceptionNestedAug,3,12CO2,12:46:00,20,38.887908935546875,38.58848190307617,38.58848190307617
InceptionNestedAug,3,13CO2,12:55:42,20,0.35578253865242004,0.34744077920913696,0.34744077920913696
InceptionNestedAug,3,12CO2,12:55:42,20,27.77144432067871,26.286890029907227,26.286890029907227
InceptionNestedAug,3,13CO2,13:05:15,20,0.1270839273929596,0.09491171687841415,-0.09457294642925262
InceptionNestedAug,3,12CO2,13:05:15,20,10.926517486572266,7.931225776672363,-7.931225776672363
InceptionNestedAug,3,13CO2,13:14:37,20,0.16966404020786285,0.12471292167901993,0.036059148609638214
InceptionNestedAug,3,12CO2,13:14:37,20,15.501323699951172,12.350769996643066,5.187819004058838
InceptionNestedAug,3,13CO2,13:24:02,20,0.1797335296869278,0.1436399519443512,-0.10710401833057404
InceptionNestedAug,3,12CO2,13:24:02,20,19.335647583007812,17.11361312866211,-8.937173843383789
InceptionNestedAug,3,13CO2,13:33:30,20,0.37580907344818115,0.36624208092689514,-0.36624208092689514
InceptionNestedAug,3,12CO2,13:33:30,20,23.28336524963379,22.421432495117188,-22.421432495117188
InceptionNestedAug,3,13CO2,13:43:08,20,0.4106149673461914,0.3991166651248932,-0.3991166651248932
InceptionNestedAug,3,12CO2,13:43:08,20,40.60641098022461,39.961097717285156,-39.961097717285156
InceptionNestedAug,4,13CO2,12:46:00,20,0.47520574927330017,0.4689784646034241,0.4689784646034241
InceptionNestedAug,4,12CO2,12:46:00,20,41.70710372924805,41.532325744628906,41.532325744628906
InceptionNestedAug,4,13CO2,12:55:42,20,0.299748957157135,0.2976175546646118,0.2976175546646118
InceptionNestedAug,4,12CO2,12:55:42,20,35.971378326416016,35.93549346923828,35.93549346923828
InceptionNestedAug,4,13CO2,13:05:15,20,0.16533434391021729,0.10621754080057144,-0.0961388498544693
InceptionNestedAug,4,12CO2,13:05:15,20,13.839322090148926,8.296040534973145,-3.853633403778076
InceptionNestedAug,4,13CO2,13:14:37,20,0.16106848418712616,0.13992956280708313,0.07358748465776443
InceptionNestedAug,4,12CO2,13:14:37,20,11.722945213317871,7.738430023193359,-1.7188628911972046
InceptionNestedAug,4,13CO2,13:24:02,20,0.16830825805664062,0.12893837690353394,-0.08730116486549377
InceptionNestedAug,4,12CO2,13:24:02,20,21.59091567993164,17.5528621673584,-11.798906326293945
InceptionNestedAug,4,13CO2,13:33:30,20,0.14576385915279388,0.10619525611400604,-0.04594014212489128
